"ID (артикул)";"Номенклатура";"Наличие";"Цена"
"10834";"21х8-9 EU Click SOLID STAR Шина цельнолитая для вилочного погрузчика";"2";"20280"
"11380";"28х9-15 EU CLICK NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"12";"40470"
"11381";"250-15 EU CLICK NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"4";"47630"
"11382";"23х9-10 EU CLICK NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"12";"31930"
"10178";"4.00-8 EU STANDART SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"7350"
"9973";"7.00-12 EU NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"29320"
"9890";"21х8-9 EU Click NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"23740"
"10179";"28х9-15 EU CLICK SOLID STAR Шина цельнолитая для вилочного погрузчика";"1";"38820"
"9746";"200/50-10 EU CLICK NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"10";"20310"
"9933";"18х7-8 EU CLICK NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"16590"
"10463";"16х6-8 EU CLICK NM SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"12610"
"11286";"6.00-9 EU STANDART SOLID STAR Шина цельнолитая для вилочного погрузчика";"0";"15540"
"10628";"6.50-10 10PR BOSSMAN MASTER LIFT Шина для вилочного погрузчика";"0";"4130"
"10630";"28х9-15 14PR BOSSMAN MASTER LIFT Шина для вилочного погрузчика";"0";"8130"
"10629";"8.25-15 14PR BOSSMAN MASTER LIFT Шина для вилочного погрузчика";"0";"13630"
"11362";"5.00-8 10PR TTF C604 HERADE Шина для вилочного погрузчика ";"0";"0"
"11363";"6.50-10 12PR TTF C604 HERADE Шина для вилочного погрузчика ";"0";"7790"
"11364";"7.00-12 12PR TTF C604 HERADE Шина для вилочного погрузчика ";"90";"10720"
"11365";"28х9-15 14PR TTF C604 HERADE Шина для вилочного погрузчика";"34";"14610"
"11492";"8.25-15 14PR HERADE C604 (HT606) TTF 155A5 Шина для вилочного погрузчика";"40";"18350"
"11494";"6.00-9 10PR 130A5 TTF C604 (HT606) HERADE Шина для вилочного погрузчика";"5";"5900"
"11236";"6.50-10 Standart KINGSOLID Шина цельнолитая для вилочного погрузчика";"0";"15880"
"10782";"6.50-10 10PR 118A8 TTF AEOLUS AIND11 Шина для вилочного погрузчика";"0";"7430"
"11770";"300-15 STANDART 102 HUABEIFENG Шина цельнолитая для вилочного погрузчика";"1";"44540"
"11769";"28x9-15 STANDART 102 HUABEIFENG Шина цельнолитая для вилочного погрузчика";"1";"26330"
"11768";"6.50-10 STANDART 102 HUABEIFENG Шина цельнолитая для вилочного погрузчика";"4";"14410"
"11767";"5.00-8 STANDART 102 HUABEIFENG Шина цельнолитая для вилочного погрузчика";"0";"7960"
"11766";"4.00-8 STANDART 102 HUABEIFENG Шина цельнолитая для вилочного погрузчика";"15";"5770"
"9238";"23х10-12 20PR TTF C601 MAXAM Шина для вилочного погрузчика";"4";"8520"
"9315";"12.5/80-18 12PR EKR-4 EKKA Шина для экскаватора-погрузчика";"62";"23680"
"9204";"12.5/80-18 14PR EKT-2 EKKA Шина для экскаватора-погрузчика";"0";"27610"
"9206";"16.9-24 12PR EKR-4 EKKA Шина для экскаватора-погрузчика";"26";"41470"
